,Interface,AE Interface,Link-To,ip,vlan
A303-03-3,Ge-0/0/0,ae0,A303-03-1,193.30.10.253/24,10
,Ge-1/0/0,,,,
,Ge-0/0/1,ae1,ADM Server,,10
,Ge-1/0/1,,,,
,Ge-0/0/2,ae2,COM Server,,10
,Ge-1/0/2,,,,
,Ge-0/0/3,ae3,IFS Server,,10
,Ge-1/0/3,,,,
,Ge-0/0/4,ae4,UI Server,,10
,Ge-1/0/4,,,,
,Ge-0/0/5,ae5,Work Station,,10
,Ge-1/0/5,,,,
,Ge-0/0/6,ae6,Work Station,,10
,Ge-1/0/6,,,,
,Ge-0/0/7,,color printer,,10
,Ge-1/0/7,,B/W printer,,10
,Ge-0/0/8,,NTP Server,,10
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,